Time,Register,Valid_user_num,Revoke,Revoked_user_num,BF_false_positive,New_acc_wit,Revoke_in_acc,Acc_update,BF_false_positive_rate,CH_update_block,CH_update
0,1003,1003,0,0,0,0,0,0,0.0000,0,0
1,1016,2019,0,0,0,0,0,0,0.0000,0,0
2,1004,3023,0,0,0,0,0,0,0.0000,0,0
3,1024,4047,0,0,0,0,0,0,0.0000,0,0
4,947,4994,0,0,0,0,0,0,0.0000,0,0
5,1021,6015,0,0,0,0,0,0,0.0000,0,0
6,1019,7034,0,0,0,0,0,0,0.0000,0,0
7,1065,8099,0,0,0,0,0,0,0.0000,0,0
8,1014,9113,0,0,0,0,0,0,0.0000,0,0
9,1001,10114,0,0,0,0,0,0,0.0000,0,0
10,1012,11126,0,0,0,0,0,0,0.0000,0,0
11,984,12110,0,0,0,0,0,0,0.0000,0,0
12,1024,13134,0,0,0,0,0,0,0.0000,0,0
13,986,14120,0,0,0,0,0,0,0.0000,0,0
14,985,15105,0,0,0,0,0,0,0.0000,0,0
15,1023,16128,0,0,0,0,0,0,0.0000,0,0
16,1003,17131,0,0,0,0,0,0,0.0000,0,0
17,981,18112,0,0,0,0,0,0,0.0000,0,0
18,990,19102,0,0,0,0,0,0,0.0000,0,0
19,1045,20147,0,0,0,0,0,0,0.0000,0,0
20,1006,21088,65,65,0,0,0,0,0.0000,20,20141
21,998,22077,9,74,0,0,0,0,0.0000,8,8060
22,1000,23000,77,151,0,0,0,0,0.0000,22,22018
23,998,23943,55,206,0,0,0,0,0.0000,24,23943
24,998,24918,23,229,0,0,0,0,0.0000,15,14852
25,1036,25887,67,296,1,1,0,0,0.0000,26,25887
26,990,26794,83,379,4,3,0,0,0.0001,26,25822
27,1022,27769,47,426,7,3,0,0,0.0003,22,21830
28,969,28528,213,639,27,20,0,0,0.0009,29,28528
29,1011,29539,0,639,28,1,0,0,0.0009,0,0
30,986,30518,7,646,29,1,0,0,0.0010,7,6878
31,1062,31577,3,649,30,1,0,0,0.0010,3,3019
32,1041,32576,43,692,33,3,0,0,0.0010,23,22595
33,1053,33474,155,847,58,25,0,0,0.0017,34,33474
34,1004,34473,5,852,60,2,0,0,0.0017,5,4918
35,1008,35401,80,932,75,15,0,0,0.0021,32,31463
36,1005,36346,60,992,101,26,0,0,0.0028,32,31410
37,1093,37405,34,1026,115,14,0,0,0.0031,23,22624
38,1029,38426,8,1034,122,7,0,0,0.0032,8,7817
39,1001,39422,5,1039,124,2,0,0,0.0031,4,3956
40,958,40346,34,1073,138,15,1,123,0.0034,25,24566
41,969,41279,36,1109,148,10,0,0,0.0036,22,21553
42,981,42111,150,1259,237,89,0,0,0.0056,41,40201
43,1008,43086,33,1292,259,22,0,0,0.0060,25,24567
44,1023,44102,7,1299,267,8,0,0,0.0061,7,6949
45,970,45022,50,1349,303,36,0,0,0.0067,34,33244
46,988,45987,23,1372,317,16,2,301,0.0069,18,17552
47,1051,47004,34,1406,351,35,1,316,0.0075,21,20555
48,967,47940,31,1437,385,34,0,0,0.0080,21,20613
49,970,48860,50,1487,424,39,0,0,0.0087,32,31198
50,1005,49778,87,1574,490,66,0,0,0.0098,43,42032
51,1002,50755,25,1599,525,35,0,0,0.0103,20,19532
52,1020,51762,13,1612,548,23,0,0,0.0106,10,9890
53,952,52675,39,1651,599,52,1,547,0.0114,27,26277
54,1017,53658,34,1685,651,52,0,0,0.0121,23,22360
55,1037,54619,76,1761,740,90,1,650,0.0135,42,40835
56,995,55608,6,1767,758,18,0,0,0.0136,5,4841
57,971,56551,28,1795,788,31,1,757,0.0139,20,19423
58,995,57460,86,1881,900,113,1,787,0.0157,47,45736
59,1051,58470,41,1922,966,67,1,899,0.0165,28,27442
60,979,59158,292,2214,1440,478,4,962,0.0243,59,57167
61,1012,60139,31,2245,1529,90,1,1439,0.0254,24,23333
62,966,61104,1,2246,1559,30,0,0,0.0255,1,1006
63,1088,62182,10,2256,1607,48,0,0,0.0258,10,9801
64,999,63174,7,2263,1648,41,0,0,0.0261,7,6773
65,994,64145,23,2286,1724,77,1,1647,0.0269,21,20379
66,953,65045,53,2339,1843,120,1,1723,0.0283,37,36008
67,1013,65990,68,2407,2022,181,2,1841,0.0306,40,38835
68,1008,66995,3,2410,2063,41,0,0,0.0308,3,2896
69,1008,67862,142,2552,2390,330,3,2060,0.0352,62,60061
70,1063,68855,70,2622,2623,234,1,2389,0.0381,40,38777
71,1020,69816,59,2681,2777,156,2,2621,0.0398,40,38882
72,936,70712,40,2721,2907,131,1,2776,0.0411,31,30152
73,1035,71744,3,2724,2970,63,0,0,0.0414,3,2926
74,965,72704,5,2729,3031,61,0,0,0.0417,5,4709
75,1013,73692,25,2754,3124,93,0,0,0.0424,22,21106
76,1006,74681,17,2771,3222,98,0,0,0.0431,15,14360
77,996,75611,66,2837,3445,228,5,3217,0.0456,44,42804
78,1004,76610,5,2842,3500,56,1,3444,0.0457,5,4733
79,1058,77597,71,2913,3745,251,6,3494,0.0483,46,44592
80,986,78582,1,2914,3790,45,0,0,0.0482,1,956
81,986,79512,56,2970,4034,246,2,3788,0.0507,42,40976
82,997,80364,145,3115,4580,550,4,4030,0.0570,67,64826
83,997,81321,40,3155,4739,163,4,4576,0.0583,32,31092
84,981,82242,60,3215,5031,294,2,4737,0.0612,41,39645
85,1001,83116,127,3342,5524,504,11,5020,0.0665,66,63744
86,1048,84016,149,3491,6230,714,8,5516,0.0742,71,68555
87,974,84790,200,3691,7125,910,15,6215,0.0840,78,75222
88,968,85694,64,3755,7490,372,7,7118,0.0874,48,46097
89,1012,86687,19,3774,7658,171,3,7487,0.0883,16,15533
90,1048,87592,143,3917,8422,774,10,7648,0.0962,69,66384
91,997,88564,25,3942,8617,201,6,8416,0.0973,24,22934
92,1001,89565,0,3942,8731,114,0,0,0.0975,0,0
93,977,90513,29,3971,8907,183,7,8724,0.0984,26,25070
94,1005,91478,40,4011,9192,290,5,8902,0.1005,34,32549
95,977,92437,18,4029,9367,176,1,9191,0.1013,17,16211
96,1019,93434,22,4051,9601,235,1,9366,0.1028,20,19012
97,1032,94433,33,4084,9868,269,2,9599,0.1045,30,29067
98,949,95382,0,4084,9964,96,0,0,0.1045,0,0
99,989,96338,33,4117,10227,266,3,9961,0.1062,27,25915
