Time,Register,Valid_user_num,Revoke,Revoked_user_num,BF_false_positive,New_acc_wit,Revoke_in_acc,Acc_update,BF_false_positive_rate,CH_update_block,CH_update
0,4845,4845,0,0,0,0,0,0,0.0000,0,0
1,5017,9862,0,0,0,0,0,0,0.0000,0,0
2,5012,14874,0,0,0,0,0,0,0.0000,0,0
3,5000,19874,0,0,0,0,0,0,0.0000,0,0
4,5044,24918,0,0,0,0,0,0,0.0000,0,0
5,4985,29903,0,0,0,0,0,0,0.0000,0,0
6,5028,34931,0,0,0,0,0,0,0.0000,0,0
7,4929,39860,0,0,0,0,0,0,0.0000,0,0
8,4985,44845,0,0,0,0,0,0,0.0000,0,0
9,4947,49792,0,0,0,0,0,0,0.0000,0,0
10,5069,54861,0,0,0,0,0,0,0.0000,0,0
11,5076,59937,0,0,0,0,0,0,0.0000,0,0
12,4946,64883,0,0,0,0,0,0,0.0000,0,0
13,5108,69991,0,0,0,0,0,0,0.0000,0,0
14,5002,74993,0,0,0,0,0,0,0.0000,0,0
15,5050,80043,0,0,0,0,0,0,0.0000,0,0
16,4942,84985,0,0,0,0,0,0,0.0000,0,0
17,5173,90158,0,0,0,0,0,0,0.0000,0,0
18,4967,95125,0,0,0,0,0,0,0.0000,0,0
19,4947,100072,0,0,0,0,0,0,0.0000,0,0
20,4888,104694,266,266,0,0,0,0,0.0000,21,104694
21,4956,109555,95,361,0,0,0,0,0.0000,22,109555
22,4837,113772,624,985,2,2,0,0,0.0000,23,113772
23,5131,118822,81,1066,2,0,0,0,0.0000,22,108930
24,5137,123085,876,1942,22,20,0,0,0.0002,25,123085
25,5048,127937,197,2139,37,15,0,0,0.0003,26,127937
26,4958,132521,375,2514,63,26,0,0,0.0005,27,132521
27,4960,137316,166,2680,76,13,0,0,0.0006,28,137316
28,4950,142146,120,2800,94,18,0,0,0.0007,29,142146
29,4996,147030,112,2912,105,11,0,0,0.0007,30,147030
30,5011,151005,1037,3949,249,145,1,104,0.0016,31,151005
31,5039,155693,351,4300,317,68,0,0,0.0020,32,155693
32,5015,160183,526,4826,457,140,0,0,0.0029,33,160183
33,4995,164857,322,5148,555,98,0,0,0.0034,34,164857
34,4988,169756,89,5237,598,43,0,0,0.0035,32,155299
35,4879,174518,117,5354,656,59,1,597,0.0038,33,159834
36,4910,179280,148,5502,735,79,0,0,0.0041,37,179280
37,4932,184049,163,5665,815,80,0,0,0.0044,38,184049
38,4962,188535,476,6141,1035,222,2,813,0.0055,39,188535
39,4986,193279,242,6383,1193,158,0,0,0.0062,40,193279
40,4968,198227,20,6403,1231,38,0,0,0.0062,15,72874
41,5048,202678,598,7001,1588,360,3,1228,0.0078,42,202678
42,4915,207593,0,7001,1627,39,0,0,0.0078,0,0
43,4967,212412,148,7149,1744,117,0,0,0.0082,42,202633
44,4950,217137,225,7374,1945,201,0,0,0.0090,44,212440
45,4956,221141,954,8328,2706,769,8,1937,0.0122,46,221141
46,5005,225536,610,8938,3348,645,3,2703,0.0148,47,225536
47,4963,229974,525,9463,3926,587,9,3339,0.0171,48,229974
48,4978,234821,131,9594,4138,215,3,3923,0.0176,46,220361
49,4982,239607,196,9790,4459,321,0,0,0.0186,48,230231
50,5020,244195,432,10222,5019,576,16,4443,0.0206,51,244195
51,4946,249088,53,10275,5180,162,1,5018,0.0208,30,143461
52,5008,253409,687,10962,6183,1018,15,5165,0.0244,53,253409
53,4963,257526,846,11808,7557,1391,17,6166,0.0293,54,257526
54,4938,262359,105,11913,7871,320,6,7551,0.0300,45,214177
55,5088,267349,98,12011,8173,302,0,0,0.0306,50,238596
56,4997,272310,36,12047,8389,218,2,8171,0.0308,26,124678
57,4919,277170,59,12106,8627,242,4,8385,0.0311,37,176798
58,5027,282191,6,12112,8783,156,0,0,0.0311,6,28497
59,5087,286875,404,12516,9677,909,15,8768,0.0337,60,286875
60,5090,291755,210,12726,10246,575,6,9671,0.0351,59,282041
61,5064,296571,248,12974,10940,697,3,10243,0.0369,59,282380
62,4903,301311,163,13137,11475,541,6,10934,0.0381,55,262852
63,5054,306311,54,13191,11800,326,1,11474,0.0385,35,166685
64,5041,311137,216,13407,12498,703,5,11795,0.0402,62,296687
65,4982,315862,257,13664,13299,805,4,12494,0.0421,62,296814
66,5013,320860,15,13679,13535,237,1,13298,0.0422,15,72545
67,5020,325622,258,13937,14378,849,6,13529,0.0442,66,316231
68,5144,330096,670,14607,16315,1963,26,14352,0.0494,69,330096
69,5018,334154,963,15570,19175,2913,53,16262,0.0574,70,334154
70,4913,338829,239,15809,20112,945,8,19167,0.0594,68,324747
71,4951,343669,111,15920,20727,627,12,20100,0.0603,52,248356
72,4909,348250,328,16248,22031,1322,18,20709,0.0633,72,343607
73,4978,353195,33,16281,22446,418,3,22028,0.0636,28,133535
74,4998,357866,327,16608,23840,1411,17,22429,0.0666,74,352888
75,5001,362676,191,16799,24820,991,11,23829,0.0684,73,348001
76,5002,367533,145,16944,25627,815,8,24812,0.0697,65,309490
77,5016,372103,447,17391,27571,1960,16,25611,0.0741,78,372103
78,4988,376981,110,17501,28302,745,14,27557,0.0751,61,291950
79,4835,381176,641,18142,30942,2694,54,28248,0.0812,80,381176
80,4982,385931,227,18369,32227,1300,15,30927,0.0835,73,348088
81,4981,390721,191,18560,33295,1093,25,32202,0.0852,73,348758
82,4961,395661,21,18581,33835,543,3,33292,0.0855,18,86039
83,5054,400391,324,18905,35606,1798,27,33808,0.0889,83,395774
84,5197,405556,32,18937,36219,613,0,0,0.0893,28,134780
85,4947,410414,89,19026,36967,756,8,36211,0.0901,60,286463
86,5009,415353,70,19096,37744,780,3,36964,0.0909,46,219724
87,5021,420168,206,19302,39080,1364,28,37716,0.0930,79,377012
88,5104,425157,115,19417,40040,970,10,39070,0.0942,59,280362
89,5036,430141,52,19469,40770,738,8,40032,0.0948,40,190465
90,5049,434586,605,20074,44049,3338,59,40711,0.1014,91,434586
91,5159,439629,116,20190,45067,1027,9,44040,0.1025,68,325084
92,4961,444563,27,20217,45704,637,0,0,0.1028,21,98364
93,4954,449323,194,20411,47142,1458,20,45684,0.1049,87,415496
94,4887,453351,860,21271,51859,4813,96,47046,0.1144,95,453351
95,4992,457808,535,21806,55218,3424,65,51794,0.1206,96,457808
96,5142,462640,310,22116,57532,2354,40,55178,0.1244,95,453221
97,5090,467421,309,22425,59790,2290,32,57500,0.1279,95,453325
98,5078,471750,749,23174,64476,4791,105,59685,0.1367,98,467029
99,5061,476730,81,23255,65628,1161,9,64467,0.1377,56,265879
