id,CH,Acc,MHT,AcBF
1,0.0,4.789,29.2,0.0
3,0.0,11.765,256.0,0.0
4,0.0,4.75,272.0,0.0
5,0.0,4.734,336.0,0.0
6,0.0,4.741,252.0,0.0
8,0.0,4.716,271.0,0.0
9,0.0,4.807,270.0,0.0
10,0.0,4.766,183.0,0.0
11,0.0,11.201,241.0,0.0
12,0.0,4.795,377.0,0.0
13,0.0,6.036,277.0,0.0
14,0.0,10.697,336.0,0.0
15,0.0,4.741,270.0,0.0
16,0.0,4.792,243.0,11.443
17,0.0,4.775,335.0,0.0
18,0.0,10.304,212.0,0.0
19,0.0,4.738,185.0,0.0
20,0.0,4.739,273.0,0.0
21,0.0,5.031,30.1,0.0
22,0.0,4.754,275.0,0.0
23,0.0,11.333,184.0,8.623
24,0.0,4.708,185.0,0.0
25,0.0,4.826,241.0,0.0
26,0.0,4.744,192.0,0.0
27,0.0,5.865,29.7,0.0
28,0.0,4.765,216.0,0.0
29,0.0,4.71,234.0,0.0
31,0.0,4.801,217.0,0.0
32,0.0,4.756,193.0,0.0
34,0.0,5.971,29.5,0.0
35,0.0,11.014,240.0,0.0
36,0.0,6.952,218.0,0.0
37,0.0,7.467,176.0,0.0
38,0.0,4.737,192.0,0.0
39,0.0,4.734,241.0,0.0
40,0.0,4.77,177.0,0.0
41,0.0,6.307,277.0,0.0
42,0.0,4.73,267.0,0.0
43,0.0,4.814,240.0,0.0
44,0.0,7.695,245.0,0.0
45,0.0,4.733,183.0,0.0
46,0.0,4.798,29.8,4.751
47,0.0,6.02,184.0,0.0
48,0.0,4.737,241.0,0.0
49,0.0,11.405,272.0,0.0
50,0.0,4.727,267.0,0.0
51,0.0,11.673,184.0,0.0
52,0.0,5.84,256.0,0.0
53,0.0,11.343,271.0,0.0
54,0.0,11.459,336.0,0.0
55,0.0,4.746,183.0,0.0
56,0.0,11.102,274.0,5.126
57,0.0,4.775,257.0,0.0
58,0.0,4.797,29.5,4.743
59,0.0,11.441,275.0,0.0
60,0.0,4.704,182.0,0.0
61,0.0,4.723,256.0,0.0
62,0.0,9.978,274.0,9.309
63,0.0,11.316,177.0,0.0
64,0.0,4.758,376.0,0.0
65,0.0,4.729,272.0,0.0
66,0.0,4.754,29.6,0.0
67,0.0,4.747,194.0,0.0
68,0.0,9.097,275.0,0.0
69,0.0,11.323,241.0,0.0
